VENDEDOR_ID,VENDEDOR_NOME,VENDEDOR_TELEFONE,VENDEDOR_EMAIL,VENDEDOR_ESTADO
1,Augusto Dias,+55 (79) 92239-3463,ivieira@da.com,AC
2,Luiz Otávio Gomes,+55 15 9 8155 3642,rafaela42@rodrigues.br,MG
3,Heloísa Araújo,+55 (75) 9 8367-8676,manuelarodrigues@fogaca.com,PE
4,Gabriela da Conceição,+55 (03) 9 1186-9656,leonardoribeiro@fernandes.br,RR
5,Manuela Moura,+55 (026) 92648-6900,fpeixoto@rodrigues.br,CE
6,Luiz Henrique Peixoto,+55 (67) 98856-0875,gomestheo@alves.br,PB
7,Gustavo Henrique Fernandes,+55 76 9 4298-7349,limasophia@barbosa.br,PI
8,Manuela Barbosa,+55 (18) 91814 1557,qteixeira@cardoso.com,RJ
9,Maria da Luz,+55 (095) 95421 3244,joao-felipe70@peixoto.org,CE
10,Sr. Otávio da Mota,+55 (047) 94984-1226,davi-luizfreitas@martins.br,MS
11,Dra. Rebeca Alves,+55 84 99996-4627,kamillyvieira@nogueira.br,AC
12,Caio Rezende,+55 (02) 90504 7137,fmoreira@da.br,SP
13,Ian da Cunha,+55 63 9 9740-4410,giovannabarros@vieira.com,AC
14,Sofia da Rosa,+55 89 9 9916-0459,leonardogoncalves@alves.org,DF
15,Marcela Moreira,+55 13 9 7252 3929,leticia94@pereira.com,GO
16,Paulo Barros,+55 02 9 0402 5389,anada-cruz@castro.br,BA
17,Srta. Ana Clara Lopes,+55 (12) 9 4696 3925,nascimentojoao@da.com,AL
18,Lívia Novaes,+55 (46) 9 5278-7837,costelajulia@da.br,GO
19,Cauã Santos,+55 92 9 8844 6284,clarice68@barros.com,PB
20,Sr. Luiz Felipe Gomes,+55 37 93461-8803,larissaviana@farias.net,SC
21,Ana Sophia da Cunha,+55 (03) 91724 9610,jesusthales@moura.br,RS
22,Laura Souza,+55 (92) 9 7333-7589,isadora70@da.com,ES
23,Sophie Vieira,+55 (74) 98555 0915,fariasvitor@vieira.org,AP
24,Eduardo Mendes,+55 (40) 9 8517-0225,brenda90@cardoso.com,AM
25,Dr. Murilo da Cruz,+55 09 91070 0113,da-luzluiz-otavio@melo.br,BA
26,Sofia Peixoto,+55 (92) 96180 2336,fpinto@da.net,SP
27,Caroline Lima,+55 (84) 90320 5900,camilasales@rocha.br,RJ
28,Leandro Nogueira,+55 (091) 98357-4565,aduarte@souza.br,MG
29,Vitória da Costa,+55 (029) 90759-4926,rcavalcanti@correia.com,SP
30,Daniela Viana,+55 (41) 95377-3787,ana-lauramoura@da.br,GO
31,Otávio da Mota,+55 (24) 9 4239 0634,maria-vitoriacampos@ribeiro.com,AL
32,Ana Sophia Barbosa,+55 (079) 93981 0015,agoncalves@da.br,RN
33,Joaquim Correia,+55 68 9 8744 9802,da-rosavitor-hugo@campos.com,PE
34,Anthony Ferreira,+55 66 9 0456-5019,julia19@das.com,SP
35,Enzo da Rocha,+55 41 92464 6159,valentinaramos@santos.com,AC
36,Nina Silva,+55 40 96003 2403,helenamoraes@melo.org,SE
37,Ryan Costa,+55 (045) 97366 7810,pedro75@costela.com,RS
38,Ana Vitória da Rosa,+55 (060) 96459 3199,alexandre12@ribeiro.com,RN
39,Maria Eduarda da Mata,+55 (40) 94484-3979,thiagomelo@lima.org,CE
40,Emanuel Araújo,+55 52 9 0276-3733,urocha@caldeira.com,PA
