ALUNO_ID;ALUNO_NOME;ALUNO_EMAIL
1;Sr. João Lucas Fogaça;davi-lucas57@example.com
2;Raquel Gonçalves;kevinda-paz@example.net
3;Arthur Campos;aramos@example.com
4;Luiza Pinto;nferreira@example.net
5;Yuri Costa;caldeiramaria-vitoria@example.org
6;Marina Cavalcanti;ramosana-livia@example.com
7;Stephany Carvalho;maria-eduardapeixoto@example.net
8;Matheus Porto;ribeiroana-julia@example.com
9;Nicolas Dias;lara83@example.net
10;Danilo Nunes;zda-cruz@example.net
11;Dra. Ana Luiza da Costa;luiz-felipe14@example.org
12;Evelyn Pinto;danilocunha@example.org
13;Julia da Costa;ypeixoto@example.org
14;Srta. Laís Moreira;nascimentomaite@example.org
15;Miguel Rodrigues;luiz-henrique50@example.net
16;Calebe Sales;ana-beatriz50@example.com
17;Danilo da Costa;sophiefernandes@example.org
18;Ana Júlia Barros;procha@example.org
19;Sarah Nogueira;novaesmatheus@example.org
20;Yasmin Lima;ribeiroerick@example.org
21;Elisa Fogaça;maria-fernanda43@example.com
22;Sra. Ana Carolina Aragão;sophie74@example.com
23;Ana Clara Dias;pedro-lucas14@example.org
24;Srta. Maria Cecília Moreira;barbosagabriela@example.com
25;Bruna Dias;fgoncalves@example.net
26;Giovanna Correia;joao-felipe00@example.org
27;Sr. Miguel Duarte;amandaferreira@example.net
28;Renan Souza;pedro-lucas71@example.net
29;Marcos Vinicius Pires;dda-paz@example.com
30;Yasmin Pinto;isabel23@example.net
31;Rodrigo da Rosa;anaporto@example.com
32;Cauã Porto;laisgoncalves@example.org
33;João Vitor Viana;njesus@example.net
34;Dr. Kaique Mendes;raulramos@example.net
35;Nicolas Moura;heitorbarros@example.org
36;Maria Cecília Aragão;kevincosta@example.net
37;Emanuelly Moura;anthonygomes@example.com
38;Pietro Martins;mirellada-cruz@example.net
39;Sophie Cunha;maria85@example.com
40;Sra. Sophia Novaes;bbarbosa@example.org
41;Dra. Maria Fernanda Novaes;vitoria02@example.org
42;Dra. Maitê Teixeira;eda-mota@example.com
43;Alana Sales;bruno23@example.org
44;Lorenzo Nogueira;xporto@example.com
45;Dr. Caio Lopes;diogonogueira@example.org
46;Olivia Pinto;wcosta@example.com
47;Julia Peixoto;clarice49@example.org
48;Henrique Cardoso;nda-paz@example.org
49;Maysa Alves;davi-luccabarros@example.org
50;Levi Moraes;evelyn70@example.net
