CLIENTE_ID,CLIENTE_NOME,CLIENTE_CEP,CLIENTE_CIDADE,CLIENTE_ESTADO
1,Catarina Mendes,09505824,Cardoso do Amparo,Santa Catarina
2,Sr. Isaac Farias,45076095,Peixoto,Espírito Santo
3,Benício Pires,38350-795,Pinto,Amapá
4,Bárbara Viana,49780137,Jesus da Mata,Bahia
5,João Lucas Nascimento,62635502,Fogaça Verde,Rio Grande do Norte
6,Bernardo Aragão,26334155,Duarte,Santa Catarina
7,Enzo Gabriel Novaes,46551179,Caldeira do Amparo,Maranhão
8,Srta. Maria Fernanda da Cruz,81756874,Gonçalves,Acre
9,Ana Vitória da Luz,61449-812,Barbosa da Prata,Bahia
10,Dr. Murilo Novaes,65857-640,Santos Verde,Minas Gerais
11,Rodrigo Nascimento,90202181,da Rocha do Amparo,Pará
12,Pedro Correia,67617502,Jesus de Caldeira,Rio de Janeiro
13,Amanda Rocha,64064362,Cavalcanti de Alves,Pernambuco
14,Dra. Luana Cavalcanti,95134402,da Cunha de Castro,Rio Grande do Sul
15,Fernanda Cavalcanti,54206684,Silveira,Piauí
16,Clara Ramos,52134697,Martins,Amazonas
17,Maitê Dias,09967939,Dias,Tocantins
18,Miguel Teixeira,65939-600,Cardoso,Ceará
19,Francisco Aragão,34086-049,Correia,Paraíba
20,Ana Cavalcanti,23900455,Alves de Ferreira,Bahia
21,Nina Teixeira,56885-101,Barbosa,Amazonas
22,Luiz Fernando Dias,31948107,Rezende,Goiás
23,Juliana Mendes,66857-565,da Rosa,Amapá
24,Cecília Gonçalves,69079-389,Costa do Galho,Paraná
25,Yago Azevedo,97890-297,Costela de Goiás,Roraima
26,Marcelo Costela,47483-488,da Luz do Galho,Sergipe
27,Nathan da Mota,44019-115,Teixeira de Santos,Paraná
28,Otávio da Mata,09750-638,Lopes,Mato Grosso
29,Maria Luiza Rocha,78531338,Cardoso,Rondônia
30,Heitor Sales,40479-170,da Mota,Ceará
31,Renan da Rosa,78400-145,Barros do Oeste,Acre
32,Sr. Thomas Nascimento,38097-853,Aragão do Galho,Alagoas
33,Luiz Gustavo Nogueira,01311681,Gomes,Minas Gerais
34,Dr. Enrico Jesus,27215986,da Cruz,Roraima
35,Sr. Davi Nogueira,90648715,Rocha de Nascimento,Pará
36,Bianca Caldeira,86211918,Teixeira de Aragão,Rio Grande do Sul
37,Ana Beatriz Cunha,58021-353,Souza de da Rosa,Santa Catarina
38,Sr. Isaac Oliveira,61443-724,da Cunha de Moura,Rio Grande do Norte
39,Thomas da Mota,57895447,Farias do Amparo,Acre
40,Sr. Pedro Henrique Araújo,56334894,Moraes,Alagoas
41,Olivia Mendes,15281638,Teixeira do Amparo,Sergipe
42,Davi Lucca Barros,21546963,da Rosa de Sales,Goiás
43,Davi Luiz Nascimento,15112-097,Barros,Minas Gerais
44,Diego Cardoso,18407-401,Carvalho,Espírito Santo
45,Luiz Gustavo Jesus,23542-287,Moura do Sul,Distrito Federal
46,Matheus Rezende,91493265,Cavalcanti,Amazonas
47,Srta. Beatriz Castro,12728-198,Correia,Minas Gerais
48,Isabella Silveira,55882146,da Cunha,Espírito Santo
49,Thiago Oliveira,06684-089,Melo,Piauí
50,João Guilherme Nunes,36103153,Lima de Melo,Amapá
51,Sra. Clara Farias,04678-642,Alves,Rondônia
52,Yasmin Gonçalves,70402-079,Rodrigues,Santa Catarina
53,Davi Dias,70629-108,Castro,Roraima
54,Leonardo Vieira,39431262,Santos de Castro,Rio Grande do Norte
55,Vinicius Rocha,68540-254,Gonçalves das Flores,Sergipe
56,Isaac Cavalcanti,69183-079,da Costa,Alagoas
57,Ana Sophia Viana,96619-055,da Mata da Praia,Tocantins
58,Miguel Gomes,95002-934,Peixoto de Goiás,Piauí
59,Srta. Stephany Cardoso,69565447,das Neves da Serra,Santa Catarina
60,Vitor Gabriel Ribeiro,74792-767,Fogaça de Souza,Rio de Janeiro
61,Julia Silva,25084002,da Mota de Goiás,Ceará
62,Anthony Almeida,23648631,Novaes,Roraima
63,Melissa Duarte,92166716,Moreira,Goiás
64,Henrique Cardoso,27679-580,Vieira das Flores,Santa Catarina
65,Lucca Ferreira,39543511,da Rocha,Tocantins
66,Ian Cunha,74986-408,Fogaça de Lima,Piauí
67,Olivia da Rocha,03086564,Silva da Praia,Bahia
68,Julia Araújo,26110-322,Fogaça de Duarte,Maranhão
69,Enzo Rezende,53044-382,Alves Grande,Pará
